cohort,seed,arm,stage,metric,value,unit
cohort 1,12409,lowrank,6,all_miou,36.27724715108955,percent
cohort 1,12409,lowrank,6,new_miou,5.654516787751726,percent
cohort 1,12409,lowrank,6,old_boundary_iou,23.39328540379613,percent
cohort 1,12409,lowrank,6,old_boundary_margin,8.019397735595703,logit
cohort 1,12409,lowrank,6,old_miou,37.620631275905495,percent
cohort 1,12409,lowrank,7,all_miou,31.097254843800698,percent
cohort 1,12409,lowrank,7,new_miou,8.107271087283761,percent
cohort 1,12409,lowrank,7,old_boundary_iou,16.19404889274837,percent
cohort 1,12409,lowrank,7,old_boundary_margin,4.922093391418457,logit
cohort 1,12409,lowrank,7,old_miou,32.338136303733286,percent
cohort 1,12409,lowrank,8,all_miou,28.58486135826072,percent
cohort 1,12409,lowrank,8,new_miou,5.38761336497437,percent
cohort 1,12409,lowrank,8,old_boundary_iou,12.345815566383251,percent
cohort 1,12409,lowrank,8,old_boundary_margin,3.089641571044922,logit
cohort 1,12409,lowrank,8,old_miou,29.755369966007763,percent
cohort 1,12409,lowrank,9,all_miou,19.505498258673644,percent
cohort 1,12409,lowrank,9,new_miou,14.472211871379587,percent
cohort 1,12409,lowrank,9,old_boundary_iou,8.35114857087586,percent
cohort 1,12409,lowrank,9,old_boundary_margin,2.800656318664551,logit
cohort 1,12409,lowrank,9,old_miou,19.287067688745747,percent
cohort 1,12409,lowrank_ssr,1,all_miou,72.83414455752893,percent
cohort 1,12409,lowrank_ssr,1,new_miou,34.69151356226563,percent
cohort 1,12409,lowrank_ssr,1,old_boundary_iou,36.01312127607433,percent
cohort 1,12409,lowrank_ssr,1,old_boundary_margin,2.994359016418457,logit
cohort 1,12409,lowrank_ssr,1,old_miou,74.85466114332863,percent
cohort 1,12409,lowrank_ssr,10,all_miou,18.460468856308715,percent
cohort 1,12409,lowrank_ssr,10,new_miou,1.3954705322561383,percent
cohort 1,12409,lowrank_ssr,10,old_boundary_iou,9.982483062252944,percent
cohort 1,12409,lowrank_ssr,10,old_boundary_margin,5.014523983001709,logit
cohort 1,12409,lowrank_ssr,10,old_miou,20.330217838071626,percent
cohort 1,12409,lowrank_ssr,2,all_miou,66.45768751634375,percent
cohort 1,12409,lowrank_ssr,2,new_miou,62.6634515732896,percent
cohort 1,12409,lowrank_ssr,2,old_boundary_iou,30.90657955395717,percent
cohort 1,12409,lowrank_ssr,2,old_boundary_margin,3.0995495319366455,logit
cohort 1,12409,lowrank_ssr,2,old_miou,65.8769291163302,percent
cohort 1,12409,lowrank_ssr,3,all_miou,54.78129032619059,percent
cohort 1,12409,lowrank_ssr,3,new_miou,25.462251595353315,percent
cohort 1,12409,lowrank_ssr,3,old_boundary_iou,30.69324947420022,percent
cohort 1,12409,lowrank_ssr,3,old_boundary_margin,3.4596316814422607,logit
cohort 1,12409,lowrank_ssr,3,old_miou,55.60539764369786,percent
cohort 1,12409,lowrank_ssr,4,all_miou,47.408975745084916,percent
