task_family,dataset,model,run_id,recipe,distance_mapping,seed,data_offset,n_edits,metric,value,result_path
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9315/results.json,ssr_only,projective,9315,500,100,final_history_efficacy,12.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9315/results.json,ssr_only,projective,9315,500,100,final_history_locality,3.9975140056022416,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9315/results.json,ssr_only,projective,9315,500,100,locality,8.724237527178705,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9317/results.json,ssr_only,projective,9317,500,100,efficacy,99.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9317/results.json,ssr_only,projective,9317,500,100,final_history_efficacy,10.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9317/results.json,ssr_only,projective,9317,500,100,final_history_locality,6.362520077961255,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9317/results.json,ssr_only,projective,9317,500,100,locality,8.290247905689082,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9319/results.json,ssr_only,projective,9319,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9319/results.json,ssr_only,projective,9319,500,100,final_history_efficacy,15.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9319/results.json,ssr_only,projective,9319,500,100,final_history_locality,8.444718598395072,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9319/results.json,ssr_only,projective,9319,500,100,locality,9.942037374390315,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9321/results.json,ssr_only,projective,9321,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9321/results.json,ssr_only,projective,9321,500,100,final_history_efficacy,11.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9321/results.json,ssr_only,projective,9321,500,100,final_history_locality,7.62361053978701,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9321/results.json,ssr_only,projective,9321,500,100,locality,9.408392669422078,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9323/results.json,ssr_only,projective,9323,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9323/results.json,ssr_only,projective,9323,500,100,final_history_efficacy,13.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9323/results.json,ssr_only,projective,9323,500,100,final_history_locality,4.287543420631656,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9323/results.json,ssr_only,projective,9323,500,100,locality,8.70393838187956,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9325/results.json,ssr_only,projective,9325,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9325/results.json,ssr_only,projective,9325,500,100,final_history_efficacy,9.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9325/results.json,ssr_only,projective,9325,500,100,final_history_locality,8.01535670212141,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9325/results.json,ssr_only,projective,9325,500,100,locality,7.416783869725046,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9327/results.json,ssr_only,projective,9327,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9327/results.json,ssr_only,projective,9327,500,100,final_history_efficacy,9.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9327/results.json,ssr_only,projective,9327,500,100,final_history_locality,4.911110539787011,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9327/results.json,ssr_only,projective,9327,500,100,locality,8.13071993366111,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9329/results.json,ssr_only,projective,9329,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9329/results.json,ssr_only,projective,9329,500,100,final_history_efficacy,12.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9329/results.json,ssr_only,projective,9329,500,100,final_history_locality,6.057587265675502,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9329/result_record.json
