dataset,rank,seed,edits,metric,unit,baseline,ssr,delta
WikiRecent,32,17638,25,history_efficacy,percent,4.0,4.0,0.0
WikiRecent,32,17640,25,history_efficacy,percent,8.0,8.0,0.0
WikiRecent,32,17631,25,pre_edit_output_consistency,percent,39.184701815247536,40.78714717179537,1.6024453565478325
WikiRecent,32,17633,25,pre_edit_output_consistency,percent,36.22414004057646,36.21427062898874,-0.009869411587715149
WikiRecent,32,17637,25,pre_edit_output_consistency,percent,37.48188875615597,37.61956263333559,0.13767387717962265
WikiRecent,32,17638,25,pre_edit_output_consistency,percent,38.99208512157202,37.238784320652485,-1.7533008009195328
WikiRecent,32,17640,25,pre_edit_output_consistency,percent,35.730236768722534,35.72689276188612,-0.003344006836414337
WikiRecent,32,17631,25,center_surround_contrast,dimensionless,-0.0011572570620046463,0.2639247636044664,0.265082020666471
WikiRecent,32,17633,25,center_surround_contrast,dimensionless,-0.004488869546288957,0.26131072693637436,0.2657995964826633
WikiRecent,32,17637,25,center_surround_contrast,dimensionless,-0.0026060454443462993,0.2747172218348299,0.27732326727917617
WikiRecent,32,17638,25,center_surround_contrast,dimensionless,-0.0030405095624571133,0.2616481232856001,0.2646886328480572
WikiRecent,32,17640,25,center_surround_contrast,dimensionless,-0.00040734285721555374,0.26433009567803567,0.2647374385352512
WikiRecent,32,17631,25,kernel_alignment,dimensionless,0.0009433942271763435,0.5583848624623248,0.5574414682351484
WikiRecent,32,17633,25,kernel_alignment,dimensionless,-0.0003258444927009155,0.5411647913445319,0.5414906358372328
WikiRecent,32,17637,25,kernel_alignment,dimensionless,0.0005313699623781887,0.5700294552370906,0.5694980852747124
WikiRecent,32,17638,25,kernel_alignment,dimensionless,-0.002855304027337167,0.5555498113057443,0.5584051153330815
WikiRecent,32,17640,25,kernel_alignment,dimensionless,-0.00045335727064152063,0.5173975841275283,0.5178509413981699
WikiRecent,32,17631,25,effective_rank,dimensionless,22.765249141624995,23.23179415294102,0.46654501131602544
WikiRecent,32,17633,25,effective_rank,dimensionless,23.66922273380416,23.15857230552605,-0.5106504282781081
WikiRecent,32,17637,25,effective_rank,dimensionless,23.014310981546128,23.17295315010207,0.15864216855594293
WikiRecent,32,17638,25,effective_rank,dimensionless,23.804890828473226,23.59490100826536,-0.20998982020786627
WikiRecent,32,17640,25,effective_rank,dimensionless,22.14001893358571,21.53824496375663,-0.6017739698290825
WikiRecent,32,17631,25,effective_rank_fraction,dimensionless,0.7114140356757811,0.7259935672794069,0.014579531603625795
WikiRecent,32,17633,25,effective_rank_fraction,dimensionless,0.73966321043138,0.7237053845476891,-0.01595782588369088
WikiRecent,32,17637,25,effective_rank_fraction,dimensionless,0.7191972181733165,0.7241547859406897,0.004957567767373217
WikiRecent,32,17638,25,effective_rank_fraction,dimensionless,0.7439028383897883,0.7373406565082925,-0.006562181881495821
WikiRecent,32,17640,25,effective_rank_fraction,dimensionless,0.6918755916745535,0.6730701551173947,-0.018805436557158828
WikiRecent,32,17631,25,near_row_cosine,dimensionless,0.0006465538855471615,0.26253317635772483,0.26188662247217764
WikiRecent,32,17633,25,near_row_cosine,dimensionless,0.000742931700057982,0.26119079999625683,0.26044786829619887
WikiRecent,32,17637,25,near_row_cosine,dimensionless,0.0011406831646516885,0.27637964360682027,0.27523896044216856
WikiRecent,32,17638,25,near_row_cosine,dimensionless,-0.0004700135266050763,0.26199818103175077,0.26246819455835585
